<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.12	15:31:00	129980	129985	129925	129980	8646	39090	5
2024.07.12	15:32:00	129980	129980	129955	129970	2411	11248	5
2024.07.12	15:33:00	129970	130015	129965	129990	5667	25985	5
2024.07.12	15:34:00	129995	129995	129955	129975	3271	12863	5
2024.07.12	15:35:00	129975	130030	129970	130020	5555	24940	5
2024.07.12	15:36:00	130025	130040	130015	130020	4198	16430	5
2024.07.12	15:37:00	130020	130040	130010	130035	2757	10345	5
2024.07.12	15:38:00	130030	130040	129990	130000	3175	12183	5
2024.07.12	15:39:00	130005	130045	130000	130025	3864	16404	5
2024.07.12	15:40:00	130020	130045	130005	130040	2807	10146	5
2024.07.12	15:41:00	130040	130070	130025	130060	5662	20278	5
2024.07.12	15:42:00	130060	130070	130020	130035	3931	15397	5
2024.07.12	15:43:00	130035	130040	129990	129990	4804	19041	5
2024.07.12	15:44:00	129990	130025	129990	130020	2747	10612	5
2024.07.12	15:45:00	130025	130035	130005	130030	1860	7479	5
2024.07.12	15:46:00	130030	130050	130015	130025	3272	12302	5
2024.07.12	15:47:00	130030	130080	130030	130065	5736	24117	5
2024.07.12	15:48:00	130065	130110	130050	130090	6347	24699	5
2024.07.12	15:49:00	130090	130110	130060	130100	4540	17921	5
2024.07.12	15:50:00	130105	130110	130060	130070	5816	27373	5
2024.07.12	15:51:00	130065	130090	130035	130055	7160	32646	5
2024.07.12	15:52:00	130055	130075	130025	130035	3450	14708	5
2024.07.12	15:53:00	130040	130040	129995	130005	5005	20330	5
2024.07.12	15:54:00	130010	130055	130005	130045	3939	17296	5
2024.07.12	15:55:00	130045	130060	130030	130050	2202	8581	5
2024.07.12	15:56:00	130050	130080	130050	130055	3897	16395	5
2024.07.12	15:57:00	130055	130090	130055	130085	2144	8365	5
2024.07.12	15:58:00	130085	130085	130045	130065	2910	11692	5
2024.07.12	15:59:00	130065	130090	130065	130090	2002	7143	5
2024.07.12	16:00:00	130090	130110	130060	130075	5399	22757	5
